job_title,company,location,skills_required,salary,description
Farm Worker,Agriculture Co.,Springfield,farming,30000,Help with crop harvesting and maintenance
Teacher,Rural School District,Rivertown,teaching,45000,Educate children in elementary school
Nurse,Community Health Center,Mountainview,nursing,55000,Provide healthcare services to rural community
Mechanic,Auto Repair Shop,Valleytown,mechanics,40000,Repair vehicles and machinery
Carpenter,Construction Firm,Hillcrest,carpentry,38000,Build and repair structures
Veterinarian,Animal Clinic,Prairieville,veterinary,60000,Care for farm animals
Electrician,Electric Services,Forestville,electrical,42000,Install and maintain electrical systems
Plumber,Plumbing Solutions,Riverbend,plumbing,41000,Fix plumbing issues in homes and businesses
Chef,Local Restaurant,Lakeview,cooking,35000,Prepare meals for restaurant patrons
Driver,Delivery Service,Township,driving,32000,Deliver goods to rural areas
Farmer,Family Farm,Greenfield,farming,28000,Manage family farm operations
Nanny,Childcare Services,Sunnydale,childcare,25000,Care for children in rural families
Gardener,Landscaping Co.,Bloomfield,gardening,30000,Maintain gardens and landscapes
Welder,Metal Works,Steelville,welding,45000,Fabricate metal structures
Painter,Paint Services,Colorville,painting,33000,Paint homes and buildings
Security Guard,Security Firm,Safehaven,security,29000,Provide security for rural properties
Cashier,General Store,Shopville,customer service,22000,Handle transactions at local store
Librarian,Public Library,Booktown,library science,38000,Manage library resources
Pharmacist,Pharmacy,Rural Pharmacy,pharmacy,65000,Dispense medications
IT Support,Tech Services,Netville,IT,50000,Provide technical support